Parameter,Protocol,Average CPU Usage (%),Total Memory Usage (Bytes),Total Disk Read (Bytes),Total Disk Write (Bytes),Network Bytes Sent,Network Bytes Received,Thread Count,Resource Handles,Duration (Seconds)
1000.0,WebSocket,6.705774278215222,85265561.19685039,6434722716,517258,552,801,17.0,505.31758530183725,10.086675
2000.0,WebSocket,5.9839050131926115,86593190.16358839,6408440127,921544,641,1957,17.0,509.3192612137203,10.095328
3000.0,WebSocket,7.652116402116402,87081285.07936507,6391531314,1325440,996,2341,17.0,513.3201058201058,10.089966
4000.0,WebSocket,4.473581213307241,88197556.85322896,17280806886,4660286,29425,39676,16.354207436399218,517.9637964774951,30.135219
5000.0,WebSocket,1.120780487804878,88767984.51512195,17331533325,5794309,30592,40836,14.0,520.3609756097561,30.092013
6000.0,WebSocket,1.17046783625731,87799320.95126706,17348442138,6906832,31526,43096,13.882066276803119,503.98830409356725,30.082376
7000.0,WebSocket,1.1689018464528669,88068279.10592808,17399168577,8052085,34906,57188,12.477162293488824,502.89990281827016,30.123747
8000.0,WebSocket,1.88818359375,88620928.0,17314624512,9134134,44751,76612,13.0,506.7802734375,30.096301
9000.0,WebSocket,0.8005847953216374,89409671.73489279,17348442138,10244866,45993,77931,13.0,512.3586744639376,30.107784
10000.0,WebSocket,1.3638318670576735,89922042.49462366,17297715699,11321551,60498,108745,13.0,516.3607038123167,30.110778
1000.0,MQTT,11.8207100591716,90144162.08284023,8572768191,6149403,60498,108745,14.0,762.8343195266273,2.994111
2000.0,MQTT,11.387824351297406,90263552.0,8471315313,6451878,60498,108805,14.0,685.2135728542914,2.774174
3000.0,MQTT,10.009780439121757,90327387.46506986,8471315313,6824622,60798,108805,14.0,1059.506986027944,2.765134
4000.0,MQTT,8.969860279441116,90479192.91017964,8471315313,7200873,62202,117300,14.0,1281.0958083832336,2.8173
5000.0,MQTT,9.070459081836328,89936313.48502994,8471315313,7576122,62202,117300,14.0,1546.7005988023952,2.797923
6000.0,MQTT,8.553892215568862,87957577.58083832,8471315313,7952373,62244,117342,14.0,1837.5688622754492,2.800576
7000.0,MQTT,11.036926147704593,88136272.73453094,8471315313,8328624,62333,117487,14.0,1933.2275449101796,2.769618
8000.0,MQTT,9.437924151696606,89484944.09580839,8471315313,8705376,62333,117487,13.295409181636726,2428.7784431137725,2.783022
9000.0,MQTT,11.387824351297406,90691269.23752496,8471315313,9088641,62687,117977,13.802395209580839,2936.9081836327346,2.785818
10000.0,MQTT,10.802994011976049,91407644.10379241,8471315313,9472908,62687,117977,14.0,3251.692614770459,2.805401
1000.0,SFTP,12.993519441674975,92934291.01495513,17512653375,21241534,62861,118334,24.05583250249252,609.4466600199402,9.223505
2000.0,SFTP,4.090199999999999,93085696.0,19063761000,24254000,63215,118716,26.0,573.077,8.100498
3000.0,SFTP,4.717182817182817,93088036.57142857,21687725461,28327299,63215,118776,26.0,573.2047952047952,8.174763
4000.0,SFTP,4.027472527472527,93217684.58741258,25296612477,33394361,63569,119160,26.0,575.07992007992,8.143686
5000.0,SFTP,5.5882,93223718.912,29874261000,39421000,63569,119160,26.0,575.046,8.140231
6000.0,SFTP,5.3146,93335871.488,35477761000,46457000,64127,119711,26.0,575.108,8.061416
7000.0,SFTP,3.890909090909091,93347840.0,42120738645,54547493,68257,126467,26.0,575.046953046953,8.082518
8000.0,SFTP,3.5099800399201597,93347840.0,49786577930,63674094,69487,135444,26.0,575.0898203592815,8.212108
9000.0,SFTP,3.6212000000000004,93347840.0,58288261000,73603000,69487,135498,26.0,575.081,8.61916
10000.0,SFTP,4.554645354645356,93347840.0,67964275341,84733649,73972,140658,26.0,575.1298701298701,8.945156
